,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,47,1.38,40,2,5,0,0,6,0.18,5,0,1,0,0,0,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,1,3.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,9,0.34,8,0,0,0,0,2,0.08,1,0,0,0,0,1,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,102,2.68,47,45,0,7,3,6,0.16,2,2,0,1,1,0,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,21,0.71,19,1,1,0,0,1,0.03,1,0,0,0,0,0,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,9,0.99,6,0,2,0,1,1,0.11,0,0,0,0,1,0,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,93,2.66,60,29,0,2,1,9,0.26,3,5,0,0,0,1,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,2,1.87,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,45,1.38,36,0,5,1,3,3,0.09,3,0,0,0,0,0,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,34,2.05,27,3,4,0,0,6,0.36,4,1,1,0,0,0,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,24,2.15,21,1,1,0,1,1,0.09,0,0,0,0,1,0,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,4,1.57,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
505,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,145,5.02,98,31,6,4,6,13,0.45,10,1,0,1,1,0,Matches
506,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,9.5,31,3.26,26,0,3,1,1,3,0.32,3,0,0,0,0,0,Matches
507,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,1,0.42,1,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
508,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,58,1.80,43,0,3,5,7,7,0.22,2,0,1,1,3,0,Matches
509,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,43,2.35,30,3,1,2,7,3,0.16,1,0,0,1,1,0,Matches
510,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,24.7,37,1.50,34,3,0,0,0,5,0.20,5,0,0,0,0,0,Matches
511,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,27.1,49,1.81,32,0,5,4,8,3,0.11,3,0,0,0,0,0,Matches
512,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,39,1.36,33,1,2,1,2,4,0.14,3,0,0,0,1,0,Matches
513,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,11.0,35,3.18,29,1,3,1,1,6,0.54,4,0,2,0,0,0,Matches
514,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,15,1.44,13,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
515,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,1,0.16,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
516,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,25,2.36,11,13,0,0,1,0,0.00,0,0,0,0,0,0,Matches
517,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,5,0.76,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
518,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,36.4,105,2.88,62,0,22,5,15,8,0.22,4,0,0,1,2,1,Matches
519,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,15.9,1,0.06,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
520,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,31,2.19,30,1,0,0,0,3,0.21,3,0,0,0,0,0,Matches
521,Richairo Živković\Richairo-Zivkovic,nl NED,FW,Sheffield Utd,22,1996,1.2,2,1.61,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
522,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,26.0,14,0.54,12,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
