,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,220,7.09,157,39,11,4,9,33,1.06,25,2,2,1,3,0,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,50,2.02,42,0,0,3,5,5,0.20,4,0,0,0,1,0,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,17,1.29,16,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,19,0.61,18,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,88,3.78,51,10,14,7,6,7,0.30,5,0,1,0,1,0,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,10,0.67,9,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,104,3.09,58,38,2,3,3,11,0.33,8,3,0,0,0,0,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,22,0.58,19,0,0,1,2,5,0.13,4,0,0,0,1,0,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,9,0.29,6,1,0,2,0,1,0.03,1,0,0,0,0,0,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,39,3.78,19,0,11,1,8,6,0.58,3,0,2,0,1,0,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,64,2.03,48,1,6,7,2,15,0.48,7,0,3,4,1,0,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,80,2.28,59,0,10,8,3,6,0.17,4,0,0,2,0,0,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,4,1.39,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,11,1.53,7,0,1,2,1,1,0.14,0,0,1,0,0,0,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,2,0.05,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,25,3.11,15,6,1,2,1,2,0.25,1,0,0,1,0,0,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,5,0.36,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,6,0.44,5,0,0,0,1,1,0.07,1,0,0,0,0,0,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,25,0.70,23,2,0,0,0,3,0.08,3,0,0,0,0,0,Matches
