,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
377,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,18,31,58.1,282,145,1,1,100.0,13,19,68.4,4,11,36.4,0,0.0,0.0,0,1,1,0,3,Matches
378,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,9,9,100.0,135,21,0,0,,8,8,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,Matches
379,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,648,1124,57.7,21851,14852,2,4,50.0,324,325,99.7,322,795,40.5,1,0.1,+0.9,2,20,0,0,3,Matches
380,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,22,40,55.0,1244,1093,0,0,,2,2,100.0,20,38,52.6,0,0.0,0.0,0,3,0,0,0,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,758,988,76.7,12428,3372,22,63,34.9,634,768,82.6,102,157,65.0,7,4.6,+2.4,33,60,67,4,141,Matches
382,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,781,1061,73.6,13247,3054,28,67,41.8,622,766,81.2,131,228,57.5,4,3.1,+0.9,37,45,38,5,101,Matches
383,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,272,395,68.9,10107,6875,3,4,75.0,97,98,99.0,172,293,58.7,0,0.0,0.0,0,4,0,0,1,Matches
384,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38.0,1476,1717,86.0,30017,7536,33,65,50.8,1040,1134,91.7,403,518,77.8,3,1.4,+1.6,22,159,18,9,123,Matches
385,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,34.1,543,823,66.0,8881,2216,21,88,23.9,435,580,75.0,87,155,56.1,3,4.9,-1.9,31,32,27,2,72,Matches
386,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,25.9,1011,1482,68.2,19384,10500,23,80,28.8,762,939,81.2,226,463,48.8,4,2.8,+1.2,33,105,32,13,237,Matches
387,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,301,400,75.3,5020,2282,9,15,60.0,250,302,82.8,42,83,50.6,0,0.4,-0.4,2,32,6,1,50,Matches
388,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,14.6,474,691,68.6,9025,3676,9,34,26.5,362,421,86.0,103,236,43.6,1,2.2,-1.2,34,35,15,7,100,Matches
389,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,113,232,48.7,4456,3562,1,1,100.0,38,38,100.0,74,193,38.3,0,0.0,0.0,0,0,0,0,0,Matches
390,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,7,10,70.0,128,22,0,0,,6,7,85.7,1,3,33.3,0,0.0,0.0,0,1,0,0,0,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,34.6,2370,2928,80.9,43579,14588,24,77,31.2,1906,2158,88.3,440,693,63.5,12,7.2,+4.8,61,175,65,27,335,Matches
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,117,155,75.5,1785,293,5,10,50.0,97,120,80.8,15,25,60.0,1,0.5,+0.5,4,5,3,1,7,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,193,257,75.1,3937,1461,2,9,22.2,138,159,86.8,53,89,59.6,0,0.2,-0.2,2,18,1,1,19,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,2363,2537,93.1,48600,10713,20,40,50.0,1680,1764,95.2,663,733,90.5,2,1.6,+0.4,32,232,20,1,168,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,345,495,69.7,4566,882,23,50,46.0,292,382,76.4,30,63,47.6,1,1.0,0.0,7,19,6,0,27,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,2,2,100.0,40,4,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
397,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,37,55,67.3,747,323,0,1,0.0,28,32,87.5,9,22,40.9,0,0.0,0.0,0,3,0,0,8,Matches
398,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,20.7,866,1038,83.4,16422,4000,14,26,53.8,665,762,87.3,187,250,74.8,0,1.2,-1.2,17,85,16,3,90,Matches
399,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,325,419,77.6,5609,2140,6,19,31.6,275,310,88.7,44,90,48.9,0,0.2,-0.2,3,22,4,1,32,Matches
400,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,435,572,76.0,7649,3168,5,21,23.8,361,410,88.0,69,141,48.9,0,0.7,-0.7,10,34,12,4,74,Matches
401,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,19.0,1272,1449,87.8,30337,8324,7,16,43.8,763,822,92.8,502,611,82.2,0,0.4,-0.4,4,119,6,2,72,Matches
402,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,7.7,196,260,75.4,2849,670,9,23,39.1,172,204,84.3,15,33,45.5,0,0.9,-0.9,8,13,4,1,13,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,1173,1462,80.2,34337,19337,1,3,33.3,615,621,99.0,557,838,66.5,0,0.0,0.0,0,9,0,0,1,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,356,490,72.7,6374,1453,6,29,20.7,282,355,79.4,68,106,64.2,4,3.6,+0.4,34,25,15,5,49,Matches
405,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,1252,1541,81.2,27996,10398,8,37,21.6,839,937,89.5,405,567,71.4,1,0.5,+0.5,7,119,9,0,118,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,659,844,78.1,10760,3132,12,50,24.0,559,652,85.7,88,142,62.0,5,3.6,+1.4,22,38,21,6,75,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,451,516,87.4,9275,3463,5,9,55.6,316,352,89.8,130,155,83.9,0,0.1,-0.1,1,25,1,0,27,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,746,1004,74.3,11226,2982,18,66,27.3,655,812,80.7,73,126,57.9,10,7.1,+2.9,54,40,60,6,120,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,127,179,70.9,1883,283,3,11,27.3,110,146,75.3,14,22,63.6,0,0.2,-0.2,7,6,3,1,10,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,45,55,81.8,821,218,1,1,100.0,36,41,87.8,8,13,61.5,0,0.0,0.0,0,2,0,0,2,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,1298,1496,86.8,28022,8017,6,24,25.0,890,960,92.7,402,512,78.5,0,0.0,0.0,1,48,0,0,60,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,6,7,85.7,91,13,0,0,,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,438,602,72.8,6741,1814,13,36,36.1,371,461,80.5,54,105,51.4,4,3.3,+0.7,26,14,32,15,53,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,576,767,75.1,14600,6231,6,15,40.0,346,393,88.0,224,359,62.4,0,0.1,-0.1,4,72,4,1,64,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,121,169,71.6,2075,711,1,8,12.5,105,129,81.4,15,32,46.9,0,0.0,0.0,0,4,3,1,21,Matches
416,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,11.5,256,342,74.9,4267,1284,6,13,46.2,218,264,82.6,32,65,49.2,1,1.1,-0.1,7,30,5,1,34,Matches
417,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,904,1178,76.7,27945,15745,2,4,50.0,429,432,99.3,473,742,63.7,0,0.4,-0.4,3,4,0,0,3,Matches
418,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,494,567,87.1,10391,2945,5,14,35.7,344,378,91.0,145,175,82.9,0,0.2,-0.2,4,59,6,1,62,Matches
419,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,145,195,74.4,2401,925,1,8,12.5,122,143,85.3,22,44,50.0,0,0.0,0.0,2,13,2,1,20,Matches
420,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,90,109,82.6,1637,526,1,2,50.0,71,80,88.8,18,27,66.7,0,0.2,-0.2,3,11,3,2,18,Matches
421,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,162,222,73.0,2388,484,5,20,25.0,146,183,79.8,11,19,57.9,2,2.6,-0.6,15,6,8,2,17,Matches
422,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,1121,1296,86.5,16834,6221,18,44,40.9,1010,1104,91.5,93,148,62.8,0,1.3,-1.3,20,60,25,6,136,Matches
423,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,791,1091,72.5,19393,6386,7,27,25.9,479,556,86.2,305,508,60.0,2,3.7,-1.7,42,128,20,4,149,Matches
424,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,20.3,909,1165,78.0,18044,6702,10,40,25.0,706,836,84.4,193,289,66.8,4,2.1,+1.9,19,56,20,11,171,Matches
425,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,28.4,868,1110,78.2,16899,5024,15,39,38.5,639,738,86.6,214,333,64.3,3,3.8,-0.8,46,95,27,5,140,Matches
426,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.6,1262,1450,87.0,21082,4107,22,54,40.7,1058,1171,90.4,182,225,80.9,7,5.3,+1.7,51,67,41,9,112,Matches
427,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,20.3,1319,1513,87.2,20974,4209,30,74,40.5,1113,1228,90.6,176,211,83.4,10,5.2,+4.8,46,89,65,1,145,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,70,100,70.0,1208,446,1,6,16.7,56,69,81.2,13,25,52.0,0,0.0,0.0,0,5,0,0,5,Matches
429,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,1106,1279,86.5,19228,3955,31,52,59.6,881,987,89.3,194,240,80.8,1,1.0,0.0,16,73,13,3,95,Matches
430,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.9,33,38,86.8,626,152,0,0,,25,29,86.2,8,9,88.9,0,0.0,0.0,0,4,0,0,3,Matches
431,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,4.4,175,210,83.3,3121,666,3,7,42.9,138,161,85.7,34,42,81.0,2,0.3,+1.7,3,12,3,1,15,Matches
432,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,22.8,845,1061,79.6,13706,5077,14,49,28.6,722,808,89.4,109,204,53.4,1,0.9,+0.1,10,61,11,2,104,Matches
433,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,30,36,83.3,391,65,1,3,33.3,26,28,92.9,3,5,60.0,0,0.0,0.0,0,3,0,0,0,Matches
434,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,435,635,68.5,7990,2676,11,35,31.4,331,403,82.1,93,197,47.2,5,2.7,+2.3,33,31,14,2,82,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,522,724,72.1,9101,4205,9,22,40.9,425,506,84.0,88,196,44.9,1,1.2,-0.2,14,35,19,12,94,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,94,133,70.7,1744,520,3,7,42.9,77,90,85.6,14,36,38.9,0,0.0,0.0,1,5,2,1,17,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,317,429,73.9,4428,910,24,45,53.3,267,337,79.2,26,47,55.3,1,0.9,+0.1,12,28,10,2,28,Matches
438,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,274,392,69.9,4852,1163,10,22,45.5,210,285,73.7,54,85,63.5,0,0.4,-0.4,2,25,4,0,23,Matches
439,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,2035,2239,90.9,41675,12071,11,28,39.3,1469,1552,94.7,555,659,84.2,1,0.3,+0.7,4,114,3,0,87,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,17,23,73.9,195,36,1,2,50.0,16,20,80.0,0,1,0.0,0,0.0,0.0,0,3,0,0,1,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,560,780,71.8,9312,3999,13,52,25.0,478,578,82.7,69,150,46.0,2,2.2,-0.2,10,42,6,2,80,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,222,310,71.6,3619,1365,8,17,47.1,177,221,80.1,37,72,51.4,0,0.8,-0.8,11,14,12,1,41,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,1,2,50.0,26,9,0,0,,0,0,,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,1421,1641,86.6,29947,7020,18,36,50.0,1006,1111,90.5,397,494,80.4,1,1.1,-0.1,18,143,19,2,140,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,906,1199,75.6,20756,7435,10,27,37.0,577,661,87.3,319,511,62.4,3,1.2,+1.8,8,84,10,0,90,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,983,1217,80.8,13848,2795,21,82,25.6,889,1025,86.7,73,110,66.4,1,7.0,-6.0,47,31,55,6,97,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,1406,1897,74.1,24265,9846,17,99,17.2,1148,1346,85.3,241,452,53.3,4,4.5,-0.5,33,105,51,10,248,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,291,405,71.9,4149,1193,15,41,36.6,243,302,80.5,33,62,53.2,0,0.5,-0.5,11,31,8,1,41,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,966,1016,95.1,21068,5923,1,6,16.7,652,682,95.6,313,328,95.4,0,0.1,-0.1,2,80,1,0,54,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,14,21,66.7,155,37,3,4,75.0,10,16,62.5,1,1,100.0,0,0.1,-0.1,1,0,2,0,2,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,59,67,88.1,1266,270,2,2,100.0,36,41,87.8,21,24,87.5,0,0.1,-0.1,2,4,0,0,5,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,102,127,80.3,1959,487,5,5,100.0,73,89,82.0,24,33,72.7,0,0.0,0.0,1,6,1,0,10,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,4,10,40.0,64,22,0,0,,4,9,44.4,0,1,0.0,0,0.0,0.0,0,1,1,0,1,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,188,232,81.0,3242,1096,1,13,7.7,148,166,89.2,39,53,73.6,0,0.0,0.0,0,9,0,0,17,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,894,1219,73.3,16472,7323,16,53,30.2,706,831,85.0,172,335,51.3,2,2.7,-0.7,26,76,30,12,164,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,913,1250,73.0,21245,7310,11,30,36.7,550,672,81.8,352,548,64.2,2,2.0,0.0,14,69,9,0,73,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,726,1035,70.1,13410,5643,10,51,19.6,565,666,84.8,151,318,47.5,1,1.4,-0.4,13,48,22,17,129,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,410,513,79.9,6841,2873,7,21,33.3,349,392,89.0,54,100,54.0,0,0.2,-0.2,5,22,4,1,52,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,1100,1242,88.6,19202,4074,13,32,40.6,895,975,91.8,192,235,81.7,1,0.8,+0.2,5,54,4,0,45,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,156,190,82.1,2691,824,2,8,25.0,126,143,88.1,28,39,71.8,1,0.9,+0.1,9,8,9,8,26,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,1455,1804,80.7,27246,6904,34,62,54.8,1115,1274,87.5,306,468,65.4,6,5.6,+0.4,52,157,37,7,190,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,414,544,76.1,8028,2568,5,23,21.7,311,359,86.6,98,162,60.5,1,1.1,-0.1,6,22,8,5,50,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,505,626,80.7,11923,3447,6,14,42.9,311,347,89.6,188,265,70.9,1,0.1,+0.9,2,21,1,0,21,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,981,1098,89.3,21074,5865,4,15,26.7,660,701,94.2,317,382,83.0,0,0.2,-0.2,4,57,4,0,40,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,793,906,87.5,15694,3307,9,26,34.6,572,630,90.8,212,250,84.8,1,1.1,-0.1,14,45,5,0,64,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,29,47,61.7,462,137,0,2,0.0,24,37,64.9,5,8,62.5,0,0.0,0.0,0,3,2,0,3,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,42,62,67.7,569,120,1,3,33.3,38,50,76.0,3,9,33.3,0,0.1,-0.1,4,2,3,0,5,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,325,460,70.7,5291,1871,9,30,30.0,266,312,85.3,50,118,42.4,1,2.0,-1.0,13,24,24,12,55,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,621,942,65.9,10779,2798,11,65,16.9,506,671,75.4,104,206,50.5,9,6.5,+2.5,50,45,45,32,110,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,23,32,71.9,692,479,0,0,,12,12,100.0,11,20,55.0,0,0.0,0.0,0,0,0,0,0,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,295,445,66.3,4743,1283,8,30,26.7,243,312,77.9,44,103,42.7,1,0.8,+0.2,18,15,12,7,43,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,567,795,71.3,10966,3574,6,38,15.8,435,555,78.4,126,202,62.4,3,3.7,-0.7,38,45,30,8,124,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,551,597,92.3,9696,2562,6,12,50.0,454,477,95.2,91,108,84.3,0,0.1,-0.1,2,41,0,0,26,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,127,141,90.1,2333,660,1,3,33.3,102,110,92.7,24,28,85.7,0,0.0,0.0,0,8,0,0,7,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,198,318,62.3,3316,1244,3,16,18.8,164,215,76.3,31,87,35.6,0,0.8,-0.8,2,6,2,1,41,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,81,104,77.9,1815,601,1,1,100.0,50,59,84.7,30,44,68.2,0,0.0,0.0,0,7,1,0,5,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,314,462,68.0,4777,784,16,49,32.7,257,341,75.4,41,72,56.9,5,5.4,-0.4,28,14,17,5,32,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,8,11,72.7,80,4,1,2,50.0,7,9,77.8,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,930,1112,83.6,19288,5952,5,23,21.7,677,746,90.8,248,343,72.3,1,0.9,+0.1,3,56,0,0,59,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,641,799,80.2,12888,4173,11,15,73.3,474,540,87.8,156,244,63.9,0,0.1,-0.1,4,58,4,0,47,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,257,344,74.7,4282,1290,2,21,9.5,221,259,85.3,34,64,53.1,0,0.5,-0.5,5,10,6,6,23,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,60,73,82.2,958,340,2,3,66.7,48,55,87.3,10,15,66.7,0,0.1,-0.1,1,7,2,1,5,Matches
486,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,338,433,78.1,5888,1762,8,18,44.4,269,309,87.1,61,106,57.5,0,1.1,-1.1,8,32,6,0,49,Matches
487,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,102,138,73.9,1143,177,8,15,53.3,90,115,78.3,4,8,50.0,1,1.0,0.0,8,6,0,0,2,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,266,405,65.7,4309,1263,4,32,12.5,225,298,75.5,37,75,49.3,3,2.8,+0.2,19,19,18,6,42,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,1884,2144,87.9,38487,8518,16,60,26.7,1363,1482,92.0,505,602,83.9,4,2.2,+1.8,17,222,28,7,181,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,183,214,85.5,3054,762,1,8,12.5,156,165,94.5,26,41,63.4,0,0.1,-0.1,2,12,1,0,14,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,337,436,77.3,5293,1548,8,25,32.0,291,337,86.4,38,74,51.4,0,0.5,-0.5,4,16,9,0,26,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,1676,2064,81.2,24863,9478,41,116,35.3,1498,1705,87.9,137,243,56.4,4,3.0,+1.0,26,105,20,10,183,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,18,19,94.7,382,127,2,2,100.0,11,12,91.7,5,5,100.0,0,0.0,0.0,0,3,0,0,5,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,932,1260,74.0,15576,7022,30,82,36.6,749,885,84.6,153,293,52.2,0,0.2,-0.2,5,71,15,7,137,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,1458,1971,74.0,27741,8429,35,74,47.3,1094,1264,86.6,329,633,52.0,3,5.2,-2.2,61,134,34,5,224,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,1,4,25.0,17,3,0,0,,1,1,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,1547,1824,84.8,33747,11537,7,26,26.9,1047,1159,90.3,493,639,77.2,1,1.0,0.0,10,90,5,1,101,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,131,169,77.5,1789,445,6,14,42.9,116,141,82.3,9,14,64.3,0,0.2,-0.2,3,10,4,0,13,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,1381,1854,74.5,28442,8337,32,61,52.5,939,1088,86.3,410,705,58.2,6,5.1,+0.9,51,158,29,6,204,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,29,44,65.9,440,90,2,5,40.0,23,32,71.9,4,7,57.1,1,0.5,+0.5,2,2,0,0,2,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,1477,1628,90.7,25473,4631,24,54,44.4,1231,1320,93.3,222,254,87.4,0,1.3,-1.3,18,130,24,0,103,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,408,582,70.1,7490,3595,6,26,23.1,321,387,82.9,81,169,47.9,2,1.2,+0.8,16,30,13,5,80,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,531,636,83.5,8464,2692,7,18,38.9,455,514,88.5,69,104,66.3,0,0.6,-0.6,13,28,19,4,64,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,165,205,80.5,3196,700,2,9,22.2,128,143,89.5,35,53,66.0,0,0.1,-0.1,2,6,3,1,11,Matches
