,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1244,1656,75.1,20897,8987,29,90,32.2,1020,1209,84.4,195,357,54.6,1,3.6,-2.6,34,106,34,16,243,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,86,106,81.1,1516,328,1,5,20.0,66,76,86.8,19,25,76.0,0,0.1,-0.1,1,6,2,0,10,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,878,1179,74.5,15926,3953,20,50,40.0,655,837,78.3,203,292,69.5,1,1.1,-0.1,16,77,16,2,88,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,525,622,84.4,10231,1967,8,18,44.4,391,446,87.7,126,158,79.7,0,0.2,-0.2,4,48,6,0,41,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22.0,793,959,82.7,15344,6020,9,21,42.9,606,671,90.3,178,267,66.7,1,0.3,+0.7,4,36,2,0,38,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,24,35,68.6,427,175,0,1,0.0,16,22,72.7,8,12,66.7,0,0.1,-0.1,2,3,1,1,4,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,247,325,76.0,3762,1066,5,15,33.3,210,255,82.4,32,55,58.2,2,2.7,-0.7,15,18,15,3,32,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,188,276,68.1,3704,1215,7,26,26.9,137,163,84.0,44,87,50.6,4,2.3,+1.7,14,12,9,4,32,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,108,167,64.7,1703,673,3,8,37.5,89,118,75.4,16,41,39.0,2,0.3,+1.7,8,6,7,1,22,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,187,212,88.2,4351,1303,2,3,66.7,123,133,92.5,62,76,81.6,0,0.0,0.0,0,9,1,0,4,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,101,132,76.5,2698,1554,0,0,,60,61,98.4,41,71,57.7,0,0.0,0.0,0,0,0,0,0,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,2,2,100.0,13,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,121,179,67.6,1938,694,2,11,18.2,101,125,80.8,18,43,41.9,0,0.4,-0.4,5,7,9,5,27,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,276,340,81.2,4323,1063,10,15,66.7,229,262,87.4,37,63,58.7,0,0.1,-0.1,4,19,2,0,17,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,1144,1534,74.6,20521,7001,31,77,40.3,866,1021,84.8,247,436,56.7,7,7.2,-0.2,79,145,58,4,220,Matches
