,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,516,498,18,17,0,70,10,0,0,0,0,0,390,49,77,384,94,21,1,4,451,1,3,3,5,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,1004,952,52,4,13,241,19,45,28,3,15,3,712,159,133,792,166,18,8,11,746,3,15,27,47,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,179,171,8,0,1,51,1,3,0,0,0,0,94,36,49,22,103,21,1,6,127,0,4,3,6,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,55,55,0,0,0,15,1,0,0,0,0,0,28,13,14,14,32,5,0,2,45,0,0,1,1,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,1496,1457,39,24,0,218,42,2,0,0,0,0,1142,160,194,201,1181,70,15,4,1298,2,17,13,20,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,6,1,0,0,0,6,0,0,0,0,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,602,592,10,2,3,143,12,97,1,0,1,0,401,113,88,41,526,15,1,5,438,3,13,15,29,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,767,697,70,48,0,125,72,12,0,0,0,0,400,107,260,97,593,40,22,0,576,8,20,8,10,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,169,129,40,1,0,31,3,16,0,0,0,0,71,57,41,12,105,8,39,0,121,0,3,3,7,Matches
416,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,11.5,342,320,22,3,1,80,8,9,0,0,0,0,218,58,66,229,58,15,19,3,256,3,5,11,10,Matches
417,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,1178,820,358,116,1,110,65,0,0,0,0,0,614,100,464,55,917,3,0,152,904,6,42,4,3,Matches
418,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,567,550,17,10,0,97,30,8,0,0,0,0,338,117,112,77,452,22,0,3,494,0,4,6,9,Matches
419,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,195,168,27,2,0,39,5,13,1,0,1,0,119,42,34,151,11,4,24,0,145,0,1,4,8,Matches
420,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,109,96,13,2,0,21,3,6,6,3,1,0,62,26,21,82,17,2,5,0,90,2,0,4,2,Matches
421,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,222,216,6,0,1,69,2,12,0,0,0,0,134,57,31,21,170,18,0,5,162,1,3,7,12,Matches
422,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,1296,1137,159,19,1,242,14,37,5,4,0,0,910,203,183,972,111,55,135,3,1121,1,12,19,37,Matches
423,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,1091,964,127,50,6,230,108,87,61,26,24,4,574,158,359,117,925,32,2,4,791,12,23,19,21,Matches
424,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,20.3,1165,965,200,18,0,184,35,70,1,0,0,0,667,269,229,140,774,47,181,2,909,4,20,26,45,Matches
425,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,28.4,1110,975,135,42,3,160,50,131,71,29,35,5,710,186,214,175,871,38,3,6,868,3,20,14,34,Matches
426,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.6,1450,1394,56,10,3,251,24,71,19,1,1,0,1102,210,138,1280,95,40,24,2,1262,2,6,15,39,Matches
427,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,20.3,1513,1455,58,18,11,269,12,35,10,1,2,0,1231,183,99,1292,189,16,5,5,1319,6,14,34,39,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,100,86,14,0,0,17,3,0,0,0,0,0,53,27,20,68,15,1,14,0,70,1,8,3,3,Matches
429,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,1279,1212,67,21,2,196,23,23,0,0,0,0,960,186,133,125,1025,47,46,12,1106,3,14,24,23,Matches
430,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.9,38,38,0,0,0,5,1,0,0,0,0,0,31,2,5,2,32,4,0,0,33,0,2,2,0,Matches
431,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,4.4,210,203,7,1,1,38,6,5,0,0,0,0,142,34,34,31,170,4,1,1,175,0,3,3,5,Matches
432,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,22.8,1061,856,205,21,1,178,13,28,1,1,0,0,597,201,263,67,734,50,183,2,845,3,22,13,38,Matches
433,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,36,36,0,0,0,8,1,1,0,0,0,0,27,6,3,3,32,1,0,0,30,0,1,1,1,Matches
434,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,635,529,106,32,2,113,37,135,72,27,24,19,326,103,206,541,53,29,1,2,435,3,6,15,24,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,724,527,197,11,0,117,19,52,0,0,0,0,271,208,245,64,414,44,186,3,522,3,12,11,14,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,133,112,21,3,0,16,6,18,0,0,0,0,66,29,38,19,83,10,18,1,94,0,1,1,7,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,429,404,25,1,0,136,3,6,0,0,0,0,268,94,67,40,307,37,1,9,317,1,6,9,19,Matches
438,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,392,386,6,3,0,95,11,2,1,1,0,0,227,68,97,44,270,34,2,0,274,1,6,5,12,Matches
439,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,2239,2187,52,44,0,261,53,4,0,0,0,0,1801,194,244,437,1653,84,8,9,2035,8,24,11,19,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,23,23,0,0,0,4,0,0,0,0,0,0,16,6,1,6,12,3,0,1,17,0,1,0,1,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,780,625,155,6,0,156,8,34,1,1,0,0,373,190,217,65,497,54,148,1,560,3,13,19,37,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,310,275,35,12,1,62,11,37,16,8,5,1,190,61,59,26,263,4,6,2,222,1,7,4,15,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,1641,1624,17,12,4,297,58,4,0,0,0,0,1100,284,257,175,1376,63,4,6,1421,4,24,26,25,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,1199,1149,50,37,3,197,35,5,0,0,0,0,718,121,360,62,1010,92,13,2,906,6,37,8,23,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,1217,1197,20,1,4,290,4,50,1,0,0,0,965,150,102,133,1027,19,13,14,983,1,13,33,55,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,1897,1574,323,7,1,352,28,121,0,0,0,0,1023,424,450,1353,136,70,316,2,1406,6,32,38,89,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,405,385,20,0,3,120,4,6,0,0,0,0,284,67,54,342,37,15,2,2,291,1,10,10,26,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,1016,1001,15,11,0,136,36,0,0,0,0,0,847,72,97,103,839,43,4,3,966,1,4,2,4,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,21,21,0,0,0,12,0,2,0,0,0,0,12,7,2,1,15,1,0,3,14,0,0,1,2,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,67,61,6,3,0,13,8,4,3,3,0,0,45,11,11,5,57,3,0,0,59,0,0,1,0,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,127,118,9,7,0,20,7,3,2,1,1,0,69,29,29,95,13,15,0,0,102,0,2,1,1,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,10,10,0,0,1,4,0,1,0,0,0,0,4,2,4,1,4,2,0,0,4,1,0,0,0,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,232,195,37,4,0,38,5,2,0,0,0,0,135,59,38,21,151,13,33,1,188,0,5,3,11,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,1219,978,241,33,0,218,34,81,10,7,0,2,605,290,324,789,133,77,198,5,894,4,25,18,41,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,1250,1222,28,25,0,245,32,4,0,0,0,0,617,210,423,153,839,130,3,6,913,6,49,12,19,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,1035,754,281,11,2,157,25,88,0,0,0,0,356,260,419,660,19,57,270,2,726,5,28,9,48,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,513,414,99,6,0,94,4,9,0,0,0,0,286,128,99,276,123,16,93,0,410,2,9,5,14,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,1242,1229,13,11,1,280,19,4,1,0,0,0,968,143,131,163,963,79,1,9,1100,0,12,11,13,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,190,162,28,2,0,13,3,16,0,0,0,0,119,40,31,138,17,9,26,0,156,0,4,1,5,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,1804,1703,101,46,9,363,65,82,41,7,20,5,1246,256,302,318,1393,45,12,14,1455,10,21,21,38,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,544,457,87,7,1,75,12,44,0,0,0,0,304,111,129,379,50,30,80,0,414,3,16,4,21,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,626,597,29,26,0,106,24,1,0,0,0,0,377,96,153,81,474,34,3,0,505,2,14,6,5,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,1098,1078,20,10,1,130,15,4,0,0,0,0,884,73,141,274,765,35,10,0,981,0,17,6,14,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,906,867,39,25,1,182,10,12,12,3,3,3,616,147,143,87,749,59,2,2,793,2,7,10,17,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,47,47,0,0,1,19,0,2,0,0,0,0,23,11,13,13,27,2,0,1,29,2,2,3,2,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,62,61,1,0,0,19,3,2,0,0,0,0,28,21,13,17,34,6,0,3,42,0,2,2,5,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,460,431,29,8,2,118,21,66,9,7,0,0,286,63,111,333,113,1,9,1,325,2,12,7,23,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,942,888,54,0,3,257,36,182,0,0,0,0,514,169,259,85,741,21,54,7,621,1,19,20,70,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,32,23,9,1,0,4,0,0,0,0,0,0,16,3,13,3,24,0,0,5,23,0,1,0,0,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,445,425,20,2,1,90,22,65,10,5,2,0,254,86,105,22,361,28,8,9,295,2,17,11,23,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,795,752,43,17,3,173,44,76,10,5,4,1,447,173,175,174,583,15,13,8,567,3,15,22,45,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,597,578,19,19,0,128,16,0,0,0,0,0,464,78,55,78,481,29,0,1,551,0,6,0,5,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,141,129,12,1,0,16,3,1,0,0,0,0,104,24,13,18,104,5,11,1,127,0,0,1,2,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,318,222,96,2,0,65,7,12,0,0,0,0,121,84,113,14,181,15,94,1,198,0,20,7,16,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,104,103,1,1,0,13,3,0,0,0,0,0,70,11,23,5,94,2,0,0,81,0,5,1,1,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,462,403,59,0,2,98,9,33,0,0,0,0,275,100,87,82,301,37,5,7,314,0,10,12,28,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,11,10,1,0,0,5,0,0,0,0,0,0,9,0,2,6,3,1,1,0,8,0,0,1,1,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,1112,1009,103,38,0,166,28,18,0,0,0,0,764,147,201,726,249,47,65,1,930,1,9,13,23,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,799,753,46,20,2,137,21,1,0,0,0,0,536,81,182,235,447,59,26,3,641,1,22,4,6,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,344,269,75,5,0,64,8,30,0,0,0,0,171,95,78,237,24,7,70,1,257,0,9,4,21,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,73,61,12,1,1,11,1,1,0,0,0,0,31,19,23,48,10,2,11,2,60,0,0,1,1,Matches
486,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,433,420,13,10,2,95,9,7,1,1,0,0,275,71,87,325,70,25,2,2,338,3,4,11,7,Matches
487,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,138,135,3,0,0,47,0,3,0,0,0,0,72,49,17,22,78,20,1,2,102,0,5,1,5,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,405,394,11,1,3,65,8,41,2,1,1,0,243,92,70,28,341,21,8,2,266,0,11,22,30,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,2144,1922,222,27,2,252,83,55,1,0,0,0,1514,353,277,57,1801,52,194,19,1884,4,25,28,45,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,214,187,27,4,0,32,3,8,0,0,0,0,154,33,27,15,171,5,23,0,183,1,1,3,6,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,436,333,103,9,1,52,3,12,0,0,0,0,252,75,109,35,291,13,94,1,337,0,5,5,17,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,2064,1680,384,16,0,299,16,102,0,0,0,0,1334,407,323,79,1558,43,368,2,1676,5,23,35,94,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,19,17,2,1,0,2,1,0,0,0,0,0,12,4,3,0,16,2,1,0,18,0,0,0,0,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,1260,979,281,14,0,217,19,37,0,0,0,0,608,328,324,92,793,72,267,10,932,5,37,29,53,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,1971,1609,362,87,6,286,98,265,182,82,74,19,1033,324,614,170,1534,152,53,10,1458,4,29,25,41,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,4,4,0,0,0,1,0,0,0,0,0,0,1,0,3,2,2,0,0,0,1,0,0,0,0,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,1824,1740,84,52,1,298,47,6,0,0,0,0,1269,241,314,333,1298,105,31,5,1547,5,26,19,17,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,169,161,8,0,0,45,1,1,1,0,1,0,113,32,24,8,128,11,2,2,131,0,1,2,7,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,1854,1653,201,65,10,278,90,146,91,80,1,2,1004,324,526,102,1663,66,3,5,1381,11,39,19,36,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,44,42,2,0,0,17,2,0,0,0,0,0,13,15,16,5,16,12,1,1,29,0,0,1,3,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,1628,1600,28,15,4,278,31,5,0,0,0,0,1298,196,134,171,1359,53,13,7,1477,1,9,17,27,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,582,450,132,10,0,98,13,32,1,1,0,0,306,95,181,336,91,21,121,3,408,4,9,17,27,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,636,553,83,7,1,91,6,13,1,0,0,0,452,98,86,157,380,15,75,1,531,3,8,15,12,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,205,166,39,4,1,18,10,14,3,1,2,0,115,32,58,8,155,9,32,0,165,0,6,2,9,Matches
505,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,1600,1464,136,16,5,339,82,175,110,27,55,10,1079,246,275,187,1355,37,8,5,1247,4,19,22,49,Matches
506,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,9.5,368,358,10,1,0,72,8,7,6,1,0,0,272,46,50,42,301,14,2,4,299,5,6,6,8,Matches
507,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,73,69,4,3,0,15,0,0,0,0,0,0,53,10,10,60,5,1,0,2,61,0,2,2,1,Matches
508,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,535,508,27,0,5,164,9,21,0,0,0,0,277,164,94,58,385,33,1,17,345,2,8,9,47,Matches
509,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,609,552,57,10,7,134,30,35,20,12,0,1,367,120,122,511,61,20,9,3,454,0,11,17,34,Matches
510,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,24.7,1656,1583,73,43,5,237,47,27,7,3,2,1,1282,173,201,206,1389,42,5,5,1466,2,18,22,12,Matches
511,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,27.1,483,470,13,0,0,163,4,8,0,0,0,0,207,152,124,60,249,69,2,20,312,4,12,13,14,Matches
512,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,1886,1822,64,52,3,379,76,16,0,0,0,0,1330,288,268,1477,281,80,12,4,1656,8,21,24,26,Matches
513,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,11.0,424,414,10,4,1,92,20,19,3,2,0,1,283,67,74,308,94,15,3,1,338,0,8,7,12,Matches
514,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,316,274,42,1,0,49,5,26,0,0,0,0,142,73,101,14,234,20,41,3,228,0,7,3,10,Matches
515,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,247,239,8,5,0,32,8,0,0,0,0,0,171,24,52,49,174,14,3,4,207,1,7,3,3,Matches
516,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,735,553,182,28,1,114,39,62,35,13,14,6,406,130,199,86,502,17,119,5,565,4,21,17,19,Matches
517,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,326,258,68,4,0,32,3,15,0,0,0,0,158,56,112,27,201,29,64,0,247,0,3,3,14,Matches
518,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,36.4,1188,1158,30,1,2,313,30,67,0,0,0,0,939,152,97,152,985,12,25,3,935,2,12,34,72,Matches
519,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,15.9,609,588,21,18,0,124,16,0,0,0,0,0,372,80,157,77,484,31,3,2,492,0,14,5,8,Matches
520,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,1348,1232,116,9,2,157,20,53,3,0,0,1,986,208,154,1090,91,44,104,4,1198,4,7,14,22,Matches
521,Richairo Živković\Richairo-Zivkovic,nl NED,FW,Sheffield Utd,22,1996,1.2,18,15,3,0,0,4,0,1,0,0,0,0,12,3,3,3,15,0,0,0,16,0,1,0,0,Matches
522,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,26.0,1982,1952,30,25,0,212,90,0,0,0,0,0,1552,140,290,353,1513,66,5,2,1772,3,31,13,13,Matches
